ID,الكلمة الحضرمية,الفصحى,الشرح الكامل
169,حيسه,إعصار بحري,وهي الإعصار البحري.
170,حتات,فتات ودقيق الشيء,الدقيق من الشي كالأكل وغيره ،فيقال):حتات اللَّخم( ،أي الدقيق الذي ينتج من اللَّخم
171,حمر,خشب جيد النوع,نوع من أنواع الخشب ،وهو نوع جيد.
172,حجل,شرج زراعي خصب,عبارة عن شرج زراعي ،ذات تربة خصبة صالحة للزراعة.
173,حصل,وجد,بتشديد الصاد ،بمعنى وجد.
174,حذل,القوة والصلابة والمتانة,القوة والصلابة.
175,حياك,مرحبا وثناء وترحيب,للثناء والترحيب.
176,الحادق,الرجل المسن الكبير في السن,الرجل في الشيخوخة ،وهو طاعن في السن.
177,حنة,رنين صوتي أو رنة,بفتح الحاء والنون المشددة ،وهو صوت رفيع يصدره المعدن مثل الرنة يقال):السيارة فيها حنه( أي فيها صوت ويقال):أهل فلان عندهم حنانه( ، وهي جمع حنة ،أي يصدر من بيتهم صوت ،إما صوت زواج وفرح أو صوت صياح وصراخ وإزعاج.
178,حفن,راحتا اليدين,راحتين اليد.
179,حرفووف,قطعة صغيرة من قرص الخبز,أجزاء صغيره من قرص الخبز.
180,حد,أحد,تأتي بمعنى أحد هو )الواحد( ،ويسقط الألف تماماً ،ونقوم بالسؤال فنقول
181,الحشك,أشجار جافة توضع في أساس البناء,أشجار جافه توضع بين كل موفر وموفر لحماية البيت من التصدع أو نزول الأرضية نتيجة للحمل الثقيل ،ويسمى ذياذ في بعض المناطق.
182,الحكاء,أول يوم في مراسم العرس,وهو اول ايام العرس ،ويكون عند أهل العروس ،ويسمى قبوض في بعض المناطق .
183,حدرى,الناحية الشرقية من وادي حضرموت,الناحيه الشرقية من وادي حضرموت.
184,الحزام,حزام فضي للمرأة,من الفضة أو الذهب ،تربط المرأة خصرها به.
185,الحوكة,نسيج العناكب - خيوط العنكبوت,أي نسيج العناكب .
186,حمس,زعل وغضب,بكسر الحاء يعني زِعل ،والحَمس يعني الزعل.
187,الحسف,التلف والفساد,التلف ،ويحسف يتلف .
188,حيله,ماء يبقى في حفرة بعد المطر,ماء يبقى في حفره بعد الأمطار لمدة شهر تقريباً أو أزيد ،يستخدم ماء شرب للحيوانات.
189,حرفوف,جزء من قرص الخبز,جزء من قرص الخبز.
190,حصان السكن,نوع من الجراد طويل الأرجل,حشرة من الجراديات ،له سيقان طويلة جدا وقد يكون لوا اخضر يسمى أحياناً بعركَب السكِن.
191,حبوة,جلسة ضم الركبتين للبطن,هي طريقة يجلس ا الرجل بضم رجليه إلى بطنه وربطهما ببعضهما ،أو مع الظهر ،عرفها العرب قديماً وكره الدين الجلوس ا يوم الجمعة والإمام يخطب حيث يستعمل للحبوة عمامة أو شال أو غيرة.
192,الحنذول,خنفساء خضراء يتبركون بها,حشرة من نوع الخنافس ،لوا أخضر ،يتباركون ا ،تكثر بعد موسم المطر
193,حب حب,البطيخ,البطيخ ،ومن أشهرها حبحب ميفع حجر.
194,حطيط,نحيف الجسم,نحيف ،والرجل الحَطِيطْ هو الرجل النحيف.
195,الحجل,خلخال فضي خفيف,من الخلاخل الفضية ذات الوزن الخفيف ،وملتصق في هذه الخلاخل حبات القناقن التي تحدث صوت مميز عن الحركة.
196,الحمراء,نوع من التمر أحمر اللون,نوع من التمر.
197,الحاشدي,نوع من التمر الجيد,نوع من التمر.
198,الحجوة,دهليز مدخل البيت الشامي,بكسر الحاء وفتح الواو ،وهي مدخل البيوت الشامية ،وتفصل بين الباب الخارجي )الرئيسي( التي تسمى )بالسدة( والباب الداخلي وكأا ملجأ تستتر فيه المرأة قبل ولوجها للمترل مسفرة وجهها لمن يشرف عليها من النساء ليعرف من هي الضيفة فيسمح لها بدخول الدار ،ومن فوائدها غير التهوية دخول النساء إليها وهن غير راغبات في الصعود فيتحدثن مع أهل الدار تحت الأمر الذي جئن لأجله بصوت كاف دون أن يسمعه من خارج البيت ،ويستخدم كمهرب آمن من الحريق في حالة الطوارئ ،ذا تكون بأركاا أوتاداً كالسلم يمكن استخدامها للفرار إلى طوابق أسفل دون اللجو للقفز والهلاك ،وهي مكان جيد للتهوية لاينشق المرء فيه من دخان ،وقد لا تنكشف عورته وعورة أهله أمام الناس ويم
199,الحوض,الحوض بجانب البئر,الحوض الواقع بجانب البئر .
200,الحومر,التمر الهندي,التمر الهندي.
201,الحظار,تحويطة النخلة أو المزرعة,تحويطة النخلة ،أو ما سواها من المزروعات ،أو ما يتم جنيه ،ويكون بعمل سور من سعف النخيل حظرا له من امتداد الأيدي إليه.
202,الحراوه,الذهاب لأخذ العروسة,الذهاب إلى أهل العروسة لأخذها ،والغذاء مع أهل العروسة
203,الحالول,بذرة حبة النبق,بذرة في حبة النبق )الدوم( أو نواة النبق.
204,الحروي,المشارك في زفة العريس,المشارك بالذهاب مع المعرس لإحضار عروسته.
205,الحزر,وحدة قياس منسوب الماء في الساقية,وحدة لقياس وصول ماء السيل في الساقية ،في ربع الساقية أو نصفها أو ملاها.
206,الحدج,المر - الحنظل,المر ) الحنضل ( .
207,الحجير,الزغاريد,الزغاريد أو الصليق.
208,حاجة فنانة,حاجة حلوة,حاجة حلوة.
209,الحبر,نضوج الغاسي الأخضر وتساقطه,وهو نضوج الغاسي الأخضر ،واستحالته إلى ما يشبه التمر فيتساقط تلقائيا ، وهو ما تنفيه النخلة عنها فلا يستمر إلى المراحل التالية ،لذا يقطف أو يتم التقاطه و أكله.
210,الحوات,الدود,الدود.
211,الحيوان,الأطفال الصغار,الأطفال الصغار.
212,الحقب,خيط يربط حول البطن عند السرة,خيط حول البطن ،موضع السرة .
213,الحتي,مسحوق النبق المجفف,مسحوق الدوم )النبق( المطحون افف .
214,الحتيكة,مسحوق نباتي بديل الصابون,مسحوق نباتي يستخدم للغسل وخاصة للنساء مثله مثل الصابون ،وكان بديل الصابون قبل ظهورة.
215,الحرو,جريان السيل في الساقية,وهو جريان السيل في الوادي أو الساقية ،ويزيد وينقص إذا كسرت بعض السواقي أو إذا لم يكن بالوادي بِد.
216,الحبوس,تميمة جلدية للوليد,يوضع في أعلى الساعد للطفل الوليد من جلد الغنم ،ويعلق به من العين قال
217,حناق,سريع الزعل والغضب,يلعب بنا زقر سقله * ماخلس حتى الحبوس بفتح الحاء و تشديد النون ،تطلق للشخص سريع الزعل.
218,الحصن,الحصن - بناء شامخ محصن,الجمع حصون ،وهو بناء عالي كبير ذات التحصين الجيد ،وبداخله كل المصالح من بئر ومصلى ومستودعات تخزين لأطول فترى ممكنة.
219,الحشف,التمر اليابس الرديء,التمر اليابس أو افف والمثل القائل) :الحَشف مايلتقين(.
220,الحبل,صف حجارة في أساس البيت,وهو من الحجر بارتفاع نصف متر تقريبا ،يكون من ضمن أساس البيت ويبنى عدة حبال للساس من الحجر حماية لأسفل البيت من المياه والأمطار ومن ثم يبنى فوقه بالمدر.
221,الحره,فتحة بناء لتوجيه الماء للساقية,وهو مدخل يبنى من الحجر والنورة ،للتحكم بإدخال الماء إلى الجرب.
222,الحنا,ليلة الحناء - ليلة العرس,ليلة العرس.
223,حيدر عباد,شال هندي قطني,شال هندي من القطن.
224,الحقه,وعاء للحنظل والمكسرات,تستخدم لحفظ الحنضل والمكسرات.
225,الحوش,حظيرة مسورة للبهائم,قطعة الأرض المسورة لحفظ البهائم.
226,الحسحس,نوع من الصخور يستخدم في البناء,هو نوع من أنواع الصخور أو البطحاء ،له بعض الاستخدامات كمادة من مواد البناء ،ويستعمل في النار لإنجاح الدجر)،والدجر نوع من أنواع الحبوب(.
227,الحنيشة,حزام فضي طويل للبدوية,حزام من الفضة ،طويل وملتوي ،تربطه المراة البدوية على خصرها.
228,الحشيش,أعشاب برية تنبت تلقائيا,الأعشاب تنمو دون أن يزرعها أحد.
229,حمة السيل,ذروة السيل وأشد قوته,شدته و أعلى نقطة يبلغها .
230,حطت الدار,تماسكت الدار بعد مرور الزمن,أي مر على بنياا فترة وأمنت الصدوع.
231,الخشم,الركن أو زاوية الدار,الركن أو زاوية الدار.
232,الحيدوان,إناء خاص لطبخ العصيد,يستخدم للعصيد ،وهو غالي الثمن .
233,الحنكة,قناة تصريف الماء في الحمام,مجرى الماء أو مكان تصريفه في الطهارة.
234,حيط,بستان صغير ملحق بالبيت,البستان الصغير الملحق بالبيت.
235,الحمه,ماء آسن متعفن تغير لونه ورائحته,بفتح الحاء وكسر الميم ،الماء الآسن المتعفن تغير لونه ورائحته من طول المكث ومن اختلاط الأقذار به .
236,الحرثان,المزارعون,المزارعين
237,الحش,مجمع النفايات خلف البيت,مجمع النفايات البشرية ،ويكون في الجهة الخلفية للدار .
238,الحلتيت,نبات طبي كريه الرائحة للريح,خلاصة نبات يشبه ) الصبر ( ،كريه الرائحة ،يستخدم لعلاج الريح.
239,الحيبور,حافة الشيء أو نتوء بارز,النتوء البارز من الشيء ،أو )حافّة الشئ ( حيبور الريم حافته .
240,الحيق,السهل المنبسط,السهل ،ومنها ينسب اسم قبيلة الحيقي.
241,الحلي,أداة الحرث من الخشب والحديد,أداة من الخشب ،تنتهي بسن حديد لحرث الأرض ،ويعمل شق في الأرض.
242,الحرمل,نبات بري يستخدم علاجا,نبات بري ،يستخدم كعلاج.
243,الحصاة,الحجرة الصغيرة,الحجرة ،والمثل القائل ):ما ينط العود إلا من حصاة(.
244,لخبت,ا وجمعها خبوت,اَ وجمعها خبوت ،وهي الأودية والبراري البعيدة الخالية من البشر.
245,الخمير,خبز يتم عجنه وإبقائه فترة قبل خبزه,خبز يتم عجنه وإبقائه فترة قبل خبزه ،يضاف إليه الخميرة.
246,الخصار,السمك,السمك.
247,خل,اترك,أي اترك ،والمثل القائل):إجن الثمار وخل العود للنار(.
248,خزب,أزيار الماء,وهي أزيار الماء ،والمثل القائل):إبليس ما يكسر خزبه(.
249,الخن,السر,السِر.
250,خمع,غبي أهبل,سذج وأهبل .
251,خرقه,قطعت قماش,قطعت قماش.
252,الخره,بالراء المشددة,بالراء المشددة ،وهي سقالة البناء المعلقة بحبال يتم إنزالها شيئاً فشيئاً ،ومنها خرة الدار.
253,خلوه,جعلوه,بتشديد اللام ،بمعنى جعلوه ،فمعنى خلَّوه يمشي جعلوه يمشي ،والمثل القائل :
254,خليه,ماحد يكلم سعد خلوه *** يعمل على مشتهاه,ماحد يكلم سعد خلّوه *** يعمل على مشتهاه. فارغة.
255,لخلفه,ا نافذة البيت,اَ نافذة البيت. )نموذج من الخلفه(
256,الخطراه,أول زيارة للعريس وزوجته لأهلها,أول زيارة للعريس وزوجته لأهلها.
257,الخرطان,الكلام السفيه البدء التافه,الكلام السفيه البدء التافه.
258,الخراران و الخرارات,المغلق بإحكام بكل تلك المغاليق,في الباب مغاليق راسية علوية وسفلية تسقط أو ترفع إلى مجراها فينغلق الباب ويصعب فتح الباب المُقْلَد ، أي المُغلَق بإحكام بكل تلك المغاليق ،ويلجئون إلى تقليدها في المساء قبل منامهم.
259,خزوق,خيبة المرابش والقصب خيبة صنابيق الخصار,خيبة المرابش والقصب خيبة صنابيق الخصار. الثقب ،والمثل القائل):خزوق وربك يرزق(.
260,الخوص,ورق النخل ،واحدها خوصة,ورق النخل ،واحدها خوصة.
261,خربشه,صوت فيه خشونة,صوت فيه خشونة.
262,خمر,بلل,بتشديد الميم ،أي بمعنى بلل ،وخمّر ثيابك بلّل ثيابك.
263,الخزانه,مستودع صغير ملحق بالغرفة للتخزين,مستودع صغير ملحق بالغرفة للتخزين.
264,خرت الدار,تسربت المياه من السقف,أي تسربت المياه من السقف.
265,الخرق,الثقب,الثقب.
266,الخلب,الطين المغمورة بالماء,الطين المغمورة بالماء.
267,الخره,قطعة من الخشب مربوطة بحبل,قطعة من الخشب مربوطة بحبل ،يجلس عليها البناء أو المنور ،ويتدلّى منها، تقوم مة ) السقالة (.
268,خنم,تغير الطعم والرائحة والتعفن,تغير الطعم والرائحة والتعفن.
269,كساء العروس ليلة دخلتها ،قالوا يغنون,أغنية كساء العروس,مريم ألاّ سقيلة ماعليها كلف يم من بغا الزين يقعد تحت مرعاض مريم مريم الحسن ياخلعة على بير زمزم
270,الخطاف– مخطاف,خطاف حديدي لرفع الزانة,ألا ياحول حولاه حبل به قطعة حديد متشعبة الرؤوس لطلوع الزانة إذا سقطت بالبئر .
271,الخور,مكان تصريف مجاري البيت,مكان تصريف مجاري البيت ،وهي عادة خلف البيت .
272,الخيل,الغصن من العذق يحمل مجموعة واحدة من التمر شمروخ,الغصن من العذق يحمل مجموعة واحدة من التمر شمروخ.
273,الخرش,طين المباني المتهدمة بعدما كانت جزءا من جدرانه,طين المباني المتهدمة بعدما كانت جزءا من جدرانه ،وليس طينا بكرا جديدا ، ويستخدمونه في إعادة صناعة المدر خلطا مع الجديد ،مستفيدين من وجود التبن فيه وقربه ورخصه .
274,الخلع,الغرس,وهو الغرس ،غرس شتلة النخل في مكان مختار ،بعد قلعها من منبتها الأصلي ، وقد يشار إلى مجموعة من النخل كان قد غرسها شخص ما بان خلع فلان.
275,خزوه,عيب,يعني عيب ،خزيتوبنا يعني أخجلتمونا أو أحرجتمونا .
276,الخرارة,عبارة عن مزلاج خشبي لوصد الضيقة,عبارة عن مزلاج خشبي لوصد الضيقة .
277,خب,جرى وركض,أي جرى وركض ،ويخب بضم الخاء يعني يجري.
278,لخرابة,ا الأبنية والحصون المتهالكة والمهدمة,اْ الأبنية والحصون المتهالكة والمهدمة.
279,الخمي,الماء المعكر غير الصافي,الماء المعكر غير الصافي.
280,لخيبعان,ا من طقوس الأفراح,اَ من طقوس الأفراح ،وضرب من ضروب الغناء التي تتغناه في المناسبات النسوة فقط .
281,الخيل,وإنشاء السواقي,بكسر حرف الحاء واليا المشددة ،المشرف الخبير بشؤون تقسيم المياه ،وإنشاء السواقي ،وحل مشاكلها ،وحالة الانقطاب ،ومسؤلية الضمر .
282,خمقه,التمر الذي فسد أو تغير وأصبح غير صالح للأكل,التمر الذي فسد أو تغير وأصبح غير صالح للأكل.
283,خرنثى,الجنس الثالث,وهو الجنس الثالث ،وخاصة هذه التسمية تسمى على الحيوانات ،إذا لم يعرف أعضاءه التناسلية أهو ذكر أو أنثى.
284,لخرفة,وا عند نجاح موسم النخيل,واُ عند نجاح موسم النخيل ،واستخراج التمر وقطع )الخيول ( الشماريخ من النخلة.
285,الخبرة,كيس واسع المسام,كيس واسع المسام ،مصنوع من الخوص ،يغطى به المثمر إذا بدأ التمر ليمنع تساقطه على الأرض.
286,الخنة,الغشوة التي تنسدل على وجه المرأة,الغشوة التي تنسدل على وجه المرأة ،ويسمح للمرأة أن ترى ما حولها دون أن يراها أحد.
287,الخمبقة,الخوض في الماء و الأوحال,الخوض في الماء و الأوحال .
288,الخطفه,طائر الحدأة,طائر الحدأة.
289,خجع,هبال أحمق,بمعنى هباله.
290,ختمه,المصحف الكريم,المصحف الكريم. )نموذج من الختمه(
291,لخطمة,ا البرقع,اُِ البرقع .
292,لخطباه,ا الخطوبه,اِ الخطوبه.
293,خلص,منفذ توصيل الماء بين البركتين,منفذ توصيل الماء بين البركتين.
294,الخطره,تول زيارة للعروس لبيت أهلها بعد الزواج,هي تول زيارة للعروس لبيت أهلها بعد الزواج٠
295,خفرج,أكبر من العول,أكبر من العول ،شكله مثل الصقر.
296,الدن,وعاء يستخدم للشرب,وعاء يستخدم للشرب .
297,الداشر,الفاسد والفاسق,الفاسد والفاسق.
298,الدسمال,نوع من القماش يصنع في الهند,نوع من القماش يصنع في الهند.
299,الدهموره,المرأة الطويلة والعريضة,المرأة الطويلة والعريضة.
300,الدفن,نوع من الأفاعي شديدة السموم,نوع من الأفاعي شديدة السموم.
301,الديم,الجلد واحدة أو جمع,وهو الجلد واحدة أو جمع. دوِيِلْ. قديم.
302,الدكة,وجمعها الدكك,وجمعها الدكك ،أي الدرج عند باب البيت من الخارج يقال ):بانجلس على الدكّه(.
303,الدهله,التعود,التعود ،والمثل القائل) :الدهله عسره(.
304,الدار,يقال دار آل فلان,يقال دار آل فلان ،وهو البيت إذا تعدى البناء الدور الأول.
305,الدخلة,الاحتفال وزف العروسة إلى مترل زوجها ليدخل ا,الاحتفال وزف العروسة إلى مترل زوجها ليدخل ا .
306,الدوبي,من يقوم بغسل الثياب,من يقوم بغسل الثياب.
307,الديد,الضرع,الضرع ،والمثل القائل):ديدها كما قروا(.
308,دوب,دائما,دائماً.
309,دويره,الياء مكسور والراء ينطق بالتخفيف,الياء مكسور والراء ينطق بالتخفيف ،وهي تصغير للدار.
310,والدرع,مكان مسور,مكان مسور ،نصف مسقوف ،يستخدم للأغنام وكمستودعات لبضائع رخيصة الثمن لا يطمع فيها اللصوص .
311,الديرة,عبارة عن حفرة صغيرة,عبارة عن حفرة صغيرة ،تأتي بمثابة محور ارتكاز للأبواب .
312,الدخش,وصف يقال للمكان الضيق,وصف يقال للمكان الضيق .
313,الدقسه,الدقه,الدقَّه
314,الدرع,ثوب المرأة من القطن الملون وشفاف,ثوب المرأة من القطن الملون وشفاف ،ويكون بسيط الخياطة.
315,الدقاقه,المنحاز,المنحاز. )نموذج من الدقاقة(
316,الدكم,الركن أو زاوية الدار,الركن أو زاوية الدار ،وممكن تطلق على اللكمة.
317,الدرجه -الدراج,نوع من أنواع الرقص,نوع من أنواع الرقص ،يشبه رقص الهبيش.
318,الدلو,وعاء من الجلد أو من الربل,وهو وعاء من الجلد أو من الربل ،لاستخراج الماء من البئر بقصد الشرب.
319,الدور,سور البلدة,سور البلدة ،فكأنه دائرة يحميها .
320,الدندنة,التحضير بالغناء مع تنوع نغمات الدندنة,هو التحضير بالغناء مع تنوع نغمات الدندنة ،يبدأ المدندِن في رفع وتيرة صوته تدريجيا كلما أستحسن صوته ،ويضع كفيه خلف أذنيه لترجيع صدى الصوت.
321,الدب,السمين,السمين.
322,الدميمة الهننه,طائر البوم,طائر البوم.
323,الدان الحضرمي,نغمات موسيقية وإيقاعات فنية مطربة تطرب ا,هو نغمات موسيقية وإيقاعات فنية مطربة تطرب الروح وتبعث على الشجن ، وهو اكثر انتشارا في حضرموت ،لأنه يعبر بصدق عن إحساس الناس وأمانيهم وتطلعام وهمومهم وآلامهم وشعورهم العاطفي ،وتنطلق مع توقيعات الحانة وتقاسيمها الغنائية المنسابة الكلمات الرقيقة العذبة والمعبرة ،فالدان نغم ولحن له صفة قديمة لدى كل فئات طبقات اتمع الحضرمي ،وهو نوع من الشعر المغنى بألفاظ وأوزان غير مقيدة بما يقوله النحاة ،ولقد سموه في الأندلس بالموشحات وسماه الحضارم الدان.
324,الدلدال,وسيلة تبادل الأشياء بين الجيران,وسيلة تواصل بين البيوت المتقاربة ،وهو عبارة عن بالدي ) دلو ( مربوط بحبل يتم تجاذبه بين البيوت لأغراض تبادل الأشياء بين الجيران .
325,ال دجر,نوع من أنواع الحبوب من فصيلة والفاصولياء,نوع من أنواع الحبوب من فصيلة والفاصولياء. الدفُوف. وهي الدفوف المعروفة ،تضرب في مناسبة إحياء المولد النبوي الشريف.
326,دفرها,أزاحها,أي أزاحها ،ودفَر السترة أي أزاح السترة عن مكاا ،والمثل القائل ):لا دفَرك لي قفاك عليك لي قدامك ( يعني إذا دفعك.
327,د حفها,أزاحها أو ازالها من مكاا,أي أزاحها أو ازالها من مكاا ،ويقال):دِحف( أي تنحى جانباً قليلاً عندما يراد من التوسعة لأجل الجلوس بجانبه ،وهذه الكلمة تقال عندما تكون الإزاحة قليلة.
328,الدوم,النبق ثمرة شجرة العلب,النبق )ثمرة شجرة العلب( ،والمثل القائل):إذا سلم العلب قل جاء الدوم(.
329,ذلق,الطرف الحاد,بمعنى الطرف الحاد ،وذلق الشريم طرف الشريم الحاد.
330,الذهينة,ليلة العرس,ليلة العرس.
331,الذيل وقدمه,فستان مسبل جدا,فستان مسبل جدا ،تلبسه المرأة وتجر زوائده بما يساوي ذراع في الأرض ،وهو ساتر جدا ،كما انه يخفي اثر المرأة خلفها.
332,الذراع,وحدات للقياس,وحدات للقياس.
333,الذباب الاسوداني,حشرة طائرة كبيرة,حشرة طائرة كبيرة ،قرصتها مؤلمة .
334,الذبر والذبرة,الدبابير عدوة النحل,هي الدبابير عدوة النحل.
335,الذري,الحبوب أو البذور,الحبوب أو البذور.
336,الذالح,جريان المراعيض والطرق والشعاب بالماء,جريان المراعيض والطرق والشعاب بالماء .
337,الذيب,الذئب,بمعنى الذئب.
338,حين - ذحين,ذل,ذَلِْ
339,يعني الآن ،قال الشاعر,ذلا ذحين,ذلا ذحين ..قالوا لي انك زين
340,ذراع,ذلا ذحين * حطوا عليك العين,ذلا ذحين * حطوا عليك العين ..ذلا ذحين وهو ذراع الإنسان ،و جمعه ) أذرعه ( ،ويساوي حوالي ٣٦سم .
341,ذرة,النملة,النملة.
342,الذباب -الذبان,جمع الذباب,جمع الذباب ،ومفردها ذُبانة.
343,الرشوح,وجع يصيب عادة الجنوب,وجع يصيب عادة الجنوب ،ومواطن مدحقة الأرجل.
344,رقاد,درجة من درجات السلم,وهو الدرج أو السلََّم ومفرده رقدة بمعنى درجة من درجات السلم.
345,الرضيح,نوى التمر بعد تكسيره لجعله غذاء الماشية,بتشديد الراء ،وهو نوى التمر بعد تكسيره لجعله غذاء الماشية.
346,رخله,أنثى الضان الصغيرة,أنثى الضان الصغيرة.
347,الرفقه,قطعة خشب تغرز في الجدار,قطعة خشب تغرز في الجدار ،تؤدي وظيفة تعليق الأغراض ونحوها.
348,الرعه,آلة خشبية لنقل المدر,آلة خشبية مسطَّحة لها أربعة مقابض ،ينقل عليها المدر والطين لغرض البناء.
349,الروك,عملية تجرى لصقل النورة بحكها على فترة طويل,هي عملية تجرى لصقل النورة بحكها على فترة طويلة بقطعة من الحجر الأملس أو نحو ذلك ،لكي تظهر ملساء مثل المعجون المستخدم في الجدران وصقله بمساسة الحديد.
350,الراعة,من الروعة,من الروعة ،والروعة المصيبة ،وهي كلمه مشهورة في حضرموت دائماً ما تكون على ألسن كبار السن حيث دائماً ما يطلوقوا على أولادهم
351,الرادي,العمامة وخاصة يرتدي على الكتفين,العمامة وخاصة يرتدي على الكتفين.
352,ربود,الحاجز المانع لمياه السيول,الحاجز المانع لمياه السيول.
353,رطل,معيار وزن معروف,معيار وزن معروف ،جمعه ) أرطال (.
354,الرش,عملية طلاء البيت بالنورة,هي عملية طلاء البيت بالنورة ،بعد أن تخفف بالماء .
355,رقل,اهتز ورجف,اهتز ورجف.
356,الرواكب,النساء اللاتي يشاركن في زف العروسة لبيتها,النساء اللاتي يشاركن في زف العروسة لبيتها.
357,رداي,كل رداء من القماش يضع على الكتف,كل رداء من القماش يضع على الكتف.
358,ال ر جلة,نبات الحنيطة,نبات الحنيطة.
359,الردم,إغلاق السواقي الصغيرة,إغلاق السواقي الصغيرة ،حيث يستخدم في حالة الكسر ،وتستخدم الجواني )الأكياس( المليئة بالتراب ،قبل أن يتسع الكسر فيتحول إلى مكْسر.
360,الريم,سطح المترل,سطح المترل.
361,الرمال,رداء يلبسونه في المناسبات,رداء يلبسونه في المناسبات ،وخاصة في الرقصة المسمية بالشبواني.
362,الرعض,تصريف وتوزيع مياه السيول,عملية تصريف وتقسيم وحجز مياه السيول في الأراضي الزراعية.
363,الرايه,عملية زراعة الأرض بعد السيول,عملية زراعة الأرض بعد السيول.
364,روبه,اللبن الرايب والمخمر,اللبن الرايب والمخمر ،والمثل القئل):ديد لبن وديد روبه( والديد الضرع.
365,الرشخ,شدة المطر,شدة المطر .
366,الرحمة,كناية على الأمطار,كناية على الأمطار.
367,الرضه,الأرضة,الأرضة ،النمل الأبيض الذي يأكل الأخشاب وورق الكتب ،يقول الشاعر: والرضة لو طرقت في العود بدلناه ** دام عزك ياكنان الراس.العمد على الساس
368,الربط,آخر موقع ربطت فيه مياه السيول,آخر الموقع الذي ربطت فيه مياه السيول.
369,روتي,الخبز الإفرنجي,الخبز الإفرنجي ،أو الصامولي عند الآخرين.
370,راشنة,مضيئة ملتهبة,مضيئة أو ملتهبة .
371,رشبة,الشيشة وهي تصنع محليا,بضم الراء و تسكين الشين ،بمعنى الشيشة وهي تصنع محلياً. )نموذج من الدقاقة(
372,الروش,العطر,العطر .
373,رشاش,دش الماء,دش الماء
374,الشبث,العنكبوت,العنكبوت ،والعناكب واحدها وجمعها سواء .
375,رف,وجمعها رفوف,وجمعها رفوف ،وهي عبارة عن مواقع صغيرة تخصص عادة للاستفادة منها في جدران الغرف من الداخل ،وتشبه في شكلها النوافذ غير إا لم تكن نافذة.
376,الرب,مادة العسل التي تخرج من التمر والتي تجمع وتحفظ,مادة العسل التي تخرج من التمر والتي تجمع وتحفظ.
377,الرزم,حفظ التمر في التنك والإزيار والعلب بعد تنظيفه وغسله,حفظ التمر في التنك والإزيار والعلب بعد تنظيفه وغسله ،لكي يبقى إلى لفترة طويلة إلى أن يحين أكله أو بيعه.
378,الرباح,القرد,القرد ،والمثل القائل):إيش عرف الرباح بأكل التفاح(.
379,الرشاء,الحبل لعملية التراحة من البئر,الحبل لعملية التراحة من البئر ،ولكنها تكون باليد.
380,الزون,الحبل الذي يترح به الماء بالدلو من البير,الحبل الذي يترح به الماء بالدلو من البير.
381,زام,عهد وعصر,أي عهد وعصر ،وأيام زامي أيام عهدي ،والمثل القائل):أيام زامي ما حد قدم قدامي(.
382,زقل,أرم,أي أرمي ،والمثل القائل) :زقل بعيده يأتيك الحوت( ،أي ارمي بسمك صغير يأتيك الكبير.
383,ال زريبه,يكون داخل الحوش الكبير,ملحق بالحوش المخصص للبهائم ،أي يكون داخل الحوش الكبير.
384,الزير,عبارة عن وعاء كبير,وهو عبارة عن وعاء كبير ،مخصص عادة لحفظ وتبريد الماء والتخزين أحياناً.
385,الزافر,جمعه زوافر,جمعه زوافِر ،أضلاع السِده.
386,الزفين,رقصة للنساء,رقصة للنساء ،تكون بشكل بطئ حيث تكون بمصاحبة بين امرأة وامرأة .
387,الزرب,مكان تربى فيه الأغنام أو الدواب,هي مكان تربى فيه الأغنام أو الدواب .
388,الزبر,الأرض الزراعية الخصبة,الأرض الزراعية الخصبة .
389,الزانه,الحبل الذي يستخرج الدلو من البئر,الحبل الذي يستخرج الدلو من البئر ،يختلف بينه وبين )الرشا( ،هي طريقة الترح بواسطة العجلة.
390,ال زوافر,عيدان الباب وسطوره الأفقية,عيدان الباب وسطوره الأفقية ،تدعمه وتقويه ،وواحدها ) زافر (،ويثبت الزافر بمسامير كبيرة جدا مقببة الرأس تزينه ،ويتفننون في نقشها ،وبإحداها تعلق ) القرقعة ( ،إذا كان الباب هو المدخل الرئيس .
391,الزربادي,نوع من الرقصات في حضرموت,نوع من الرقصات في حضرموت.
392,ال زولي,المكان المخصص لقضاء الحاجة في البيت,المكان المخصص لقضاء الحاجة في البيت.
393,زمبيل,الكيس,بمعنى الكيس.
394,ال زقر,يعني الولد أو الفتى,يعني الولد أو الفتى.
395,زنبع العشر,الظاهر إا حشرة من نوع الجراد,الظاهر إا حشرة من نوع الجراد ،ليس لها أجنحة .
396,الزنط,التكبر,التكبر ،وزناط تعني المتكبر .
397,الزقره,البنت أو الفتاه,يعني البنت أو الفتاه.
398,ال زمان,كناية على الجذب,كناية على الجذب ،وشحة المطر.
399,الزوع,صوت هذير السيل من بعيد,صوت هذير السيل من بعيد.
400,الزبه,بكسر الباء,بكسر الباء ،الاهتمام المتزايد للشي كونه جديداً أو الانتشاء و الانتفاخ .يقول
401,الشاعر,أن الحب له زبه عند الناس,الحب له بشه وزبه ** بين المحب والذي يحبه. أي أن الحب له زبه عند الناس ،أي له شهره واهتمام وتعلق بالحب ومن ثم يذبل.
402,سرط,ابتلع,ابتلع.
403,السبتة,الحزام,هي الحزام
404,سرح,ذهب صباحا,)نموذج من السبتة( أي بمعنى ذهب وهو يكون وقت الصباح ،ومسرح بمعنى ذهاب.
