ID,الكلمة الحضرمية,الفصحى,الشرح الكامل
27,إبزم,إبزيم - مشبك الحزام,قطعتان معدنيتان تتشابكان لربط الحزام.
28,أبل,حلوى حضرمية - كعك صغير,بضم الهزة وتشديد الباء المفخمة ،وهو نوع من المعجنات والحلويات التي تعمل في حضرموت ،وهو عبارة عن كعك صغير الحجم هش حلو المذاق لاحشوة فيه.
29,إبليس,الذكي والشيطنة,وهو أبو الشياطين وكبيرهم ،يقال ):ولد أو ود إبليس ،وبنت إبليس( صفه للشخص الخبيث ،وأيضاً تأتي بمعنى الذكي والشيطنة.
30,أبو,كنية - أبو فلان,للكنية كما في العربية ،وتنطق بو عمر ،بوحمد ،بو سالم وتذغم الألف تماماً.
31,ام سبعة وسبعين,يعني وقف السيارة,هي أم أربعة و أربعين ،لها أرجل كثيرة تلذغ. أُوب صرخة لإيقاف سائق السيارة ،فيقال ):اوب عندك ( ،أي يعني وقِّف السيارة.
32,امبوه,الماء,وهو الماء ،وهذه الكلمة خاصة بالأطفال يلقنون ا لكي يسهل عليهم نطقها في حالة رغبتهم في الحصول على الماء.
33,أح,آه - تعبير ألم أو إعجاب,بفتح الهمزة وتشديد الحاء ،للتأوه أه ،وهي كلمه دائماً ما تستخدمها الإناث في حالة إعجاا بشي معين مثلاً يقال ) :أح من ذاك القماش( ،يعني ما أجمله وما أحلاه من ذلك القماش ،كذلك يقولون لتقليل من عمل شخص معين مثلاً) :أح منك ما سويتها زين( ،كذلك لفظة المتألم إذا لسعته النار أو لسعة حرارة والمثل القائل) :دحق على الجمر ولا تقول أح( ،وأيضا لفظة عندما يأكل الإنسان الفلفل والبسباس والمثل يقول ):من بغاء البح لا يقول أح( ، والمثل الآخر القائل ):لا تقول أح يسمعك العدو يفرح(.
34,الآجر,الطوب المحروق,والجيم هنا ينطق ) يا ( دائماً في حضرموت الساحل وجزء كبير من الوادي ، والآجر هو طوب أحمر من الطين المحروق في الأفران ،ويحرق بالنار حتى يقسى قساوة شديدة ،بنيت منه المساجد القديمة جداً في حضرموت ،وبني منه جامع )هارون( بشام القديم.
35,اكس عليه,ألغيه وتجاهله أو أستبعده ألبته,بتشديد الكاف ،يقال على شخص معين أو على موضوع ،فيقال ):إكّس عليه ( ،أي ألغيه وتجاهله أو أستبعده ألبته.
36,الأود,حصة الري الزراعي,حصة الري للزرع.
37,الأسته,الغبي الأهبل,الأهبل أو الغبي قليل الفهم ،وينطق أحياناً بدون الألف )سته(
38,أوقيه,أوقية - وحدة وزن,معيار وزن معروف في حضرموت قل استخدامه الآن بعد استبداله بوزن الرطل والكيلو .
39,اص - أصه,يطلب منه الصمت عن هذا الكلام لأنه غير مقب,لطلب السكوت والهدوء وعدم رفع الصوت ،وتأتي أحياناً للاستنكار والاعتراض على الكلام والتتهكم عليه ،أي يطلب منه الصمت عن هذا الكلام لأنه غير مقبولاً على الإطلاق ،وأن يدع ويترك مثل هذا الحديث.
40,أواق,عملة قديمة,عمله حضرمية قديمة.
41,الأيك,رقم 1 في الدومينو,في لعبة الضمنه ،كما تسمى في حضرموت )الدمينو( ،هو الرقم ). (١
42,إدحق - دحق,امش - دس بقوة,بكسر الألف و تسكين الدال و فتح الحاء ،بمعنى أمشي مثلاً يقال) :ادحق بسرعه( أي امشي بسرعه ،ودوس أو ادعس مثلاً يقال):ادحق عليه بقوه( أي دوس عليه بقوه .
43,أرقش,ملون ببني وأبيض,بني مع البياض :مثلاً يقال):هذا طير أرقش( ،أي لونه بني مع قليل من البياض.
44,أطلس,قماش ناعم أملس,ذو الملمس الناعم الأملس ،وهو نوع من أنواع القماش.
